bullet_id,category_or_intent,live_type,text,realistic_yes_no,wording_ok_yes_no,scoring_boundary_ok_yes_no,risk_or_revision,reviewer,reviewed_at
AMB-UNR-EC-001,unrelated,ecommerce,你们那边今天下雨了吗？,,,,,,
AMB-UNR-EC-002,unrelated,ecommerce,主播平时几点睡？,,,,,,
AMB-UNR-EC-003,unrelated,ecommerce,背景音乐叫什么名字？,,,,,,
AMB-UNR-EC-004,unrelated,ecommerce,今天晚饭吃的什么？,,,,,,
AMB-UNR-EN-001,unrelated,entertainment,主播用的什么手机？,,,,,,
AMB-UNR-EN-002,unrelated,entertainment,后面那个摆件哪买的？,,,,,,
AMB-UNR-EN-003,unrelated,entertainment,你平时养猫还是养狗？,,,,,,
AMB-UNR-EN-004,unrelated,entertainment,你们那边现在冷不冷？,,,,,,
AMB-UNR-KN-001,unrelated,knowledge,老师平时喝咖啡吗？,,,,,,
AMB-UNR-KN-002,unrelated,knowledge,后面的书架是自己装的吗？,,,,,,
AMB-UNR-KN-003,unrelated,knowledge,下次能讲点完全不一样的吗？,,,,,,
AMB-UNR-KN-004,unrelated,knowledge,你今天是不是换眼镜了？,,,,,,
AMB-UNR-EC-005,unrelated,ecommerce,主播今天怎么没戴帽子？,,,,,,
AMB-UNR-EC-006,unrelated,ecommerce,你用的口红是什么色号？,,,,,,
AMB-UNR-EC-007,unrelated,ecommerce,最近有什么好看的剧吗？,,,,,,
AMB-UNR-EC-008,unrelated,ecommerce,你们公司一般几点下班？,,,,,,
AMB-UNR-EC-009,unrelated,ecommerce,桌上那杯是什么饮料？,,,,,,
AMB-UNR-EC-010,unrelated,ecommerce,主播是哪儿人呀？,,,,,,
AMB-UNR-EN-005,unrelated,entertainment,这个灯是什么牌子的？,,,,,,
AMB-UNR-EN-006,unrelated,entertainment,主播今天吃水果了吗？,,,,,,
AMB-UNR-EN-007,unrelated,entertainment,你平时玩什么游戏？,,,,,,
AMB-UNR-EN-008,unrelated,entertainment,墙上的画是谁画的？,,,,,,
AMB-UNR-EN-009,unrelated,entertainment,周末准备去哪玩？,,,,,,
AMB-UNR-EN-010,unrelated,entertainment,你最近在追什么剧？,,,,,,
AMB-UNR-KN-005,unrelated,knowledge,老师你用的什么笔？,,,,,,
AMB-UNR-KN-006,unrelated,knowledge,桌上的杯子好看，哪买的？,,,,,,
AMB-UNR-KN-007,unrelated,knowledge,你平时几点开始工作？,,,,,,
AMB-UNR-KN-008,unrelated,knowledge,最近有推荐的电影吗？,,,,,,
AMB-UNR-KN-009,unrelated,knowledge,窗外是不是下雨了？,,,,,,
AMB-UNR-KN-010,unrelated,knowledge,你这个麦克风是什么型号？,,,,,,
AMB-PAS-EC-001,passerby,ecommerce,刚进来，今天主要卖什么？,,,,,,
AMB-PAS-EC-002,passerby,ecommerce,这是品牌自己在播吗？,,,,,,
AMB-PAS-EC-003,passerby,ecommerce,前面讲到哪一款了？,,,,,,
AMB-PAS-EC-004,passerby,ecommerce,第一次来，有新人活动吗？,,,,,,
AMB-PAS-EN-001,passerby,entertainment,刚进来，你们在聊什么？,,,,,,
AMB-PAS-EN-002,passerby,entertainment,第一次看，主播平时几点播？,,,,,,
AMB-PAS-EN-003,passerby,entertainment,这是每天都开播吗？,,,,,,
AMB-PAS-EN-004,passerby,entertainment,刚才发生什么了？,,,,,,
AMB-PAS-KN-001,passerby,knowledge,刚进来，今天讲什么主题？,,,,,,
AMB-PAS-KN-002,passerby,knowledge,这个系列要从哪一期开始看？,,,,,,
AMB-PAS-KN-003,passerby,knowledge,前面的内容还能回看吗？,,,,,,
AMB-PAS-KN-004,passerby,knowledge,完全没基础能听懂吗？,,,,,,
AMB-PAS-EC-005,passerby,ecommerce,刚来，这款现在多少钱？,,,,,,
AMB-PAS-EC-006,passerby,ecommerce,主播刚才试的是哪个颜色？,,,,,,
AMB-PAS-EC-007,passerby,ecommerce,链接要点哪一个？,,,,,,
AMB-PAS-EC-008,passerby,ecommerce,现在还有活动吗？,,,,,,
AMB-PAS-EC-009,passerby,ecommerce,这个大概适合什么人？,,,,,,
AMB-PAS-EC-010,passerby,ecommerce,刚进来，能重新介绍一下吗？,,,,,,
AMB-PAS-EN-005,passerby,entertainment,新来的，主播叫什么呀？,,,,,,
AMB-PAS-EN-006,passerby,entertainment,今天大概播到几点？,,,,,,
AMB-PAS-EN-007,passerby,entertainment,这里平时主要聊什么？,,,,,,
AMB-PAS-EN-008,passerby,entertainment,刚才那段能再说一次吗？,,,,,,
AMB-PAS-EN-009,passerby,entertainment,怎么突然这么多人？,,,,,,
AMB-PAS-EN-010,passerby,entertainment,第一次来，这里有什么规矩？,,,,,,
AMB-PAS-KN-005,passerby,knowledge,刚进来，前面的结论是什么？,,,,,,
AMB-PAS-KN-006,passerby,knowledge,前面讲的是基础还是进阶？,,,,,,
AMB-PAS-KN-007,passerby,knowledge,有整理好的笔记吗？,,,,,,
AMB-PAS-KN-008,passerby,knowledge,今天会讲到具体案例吗？,,,,,,
AMB-PAS-KN-009,passerby,knowledge,这个内容零基础能学吗？,,,,,,
AMB-PAS-KN-010,passerby,knowledge,刚才那个名词是什么意思？,,,,,,
AMB-NOI-EC-001,room_noise,ecommerce,来了来了,,,,,,
AMB-NOI-EC-002,room_noise,ecommerce,声音有一点小,,,,,,
AMB-NOI-EC-003,room_noise,ecommerce,画面刚才卡了一下,,,,,,
AMB-NOI-EC-004,room_noise,ecommerce,蹲一下后面的,,,,,,
AMB-NOI-EN-001,room_noise,entertainment,哈哈哈哈,,,,,,
AMB-NOI-EN-002,room_noise,entertainment,在的在的,,,,,,
AMB-NOI-EN-003,room_noise,entertainment,刚才是不是卡了？,,,,,,
AMB-NOI-EN-004,room_noise,entertainment,路过留个脚印,,,,,,
AMB-NOI-KN-001,room_noise,knowledge,记笔记了,,,,,,
AMB-NOI-KN-002,room_noise,knowledge,这句有点没听清,,,,,,
AMB-NOI-KN-003,room_noise,knowledge,刚刚断了一下,,,,,,
AMB-NOI-KN-004,room_noise,knowledge,先收藏了,,,,,,
AMB-NOI-EC-005,room_noise,ecommerce,是一号链接吗,,,,,,
AMB-NOI-EC-006,room_noise,ecommerce,已拍,,,,,,
AMB-NOI-EC-007,room_noise,ecommerce,蹲个返场,,,,,,
AMB-NOI-EC-008,room_noise,ecommerce,听着有一点回音,,,,,,
AMB-NOI-EC-009,room_noise,ecommerce,字幕好像慢了一点,,,,,,
AMB-NOI-EC-010,room_noise,ecommerce,刚刚进出了一下,,,,,,
AMB-NOI-EN-005,room_noise,entertainment,笑死,,,,,,
